,index,CANTIDAD
1549,1549,60.0
1550,1550,51.0
1551,1551,79.0
1552,1552,42.0
1553,1553,72.0
1554,1554,58.0
1555,1555,77.0
1556,1556,62.0
1557,1557,40.0
1558,1558,86.0
1559,1559,44.0
1560,1560,70.0
1561,1561,112.0
1562,1562,55.0
1563,1563,42.0
1564,1564,61.0
1565,1565,44.0
1566,1566,48.0
1567,1567,61.0
1568,1568,51.0
1569,1569,30.0
1570,1570,36.0
1571,1571,39.0
1572,1572,28.0
1573,1573,39.0
1574,1574,42.0
1575,1575,55.0
1576,1576,16.0
1577,1577,17.0
1578,1578,22.0
1579,1579,34.0
1580,1580,45.0
1581,1581,17.0
1582,1582,47.0
1583,1583,45.0
1584,1584,22.0
1585,1585,25.0
1586,1586,38.0
1587,1587,36.0
1588,1588,21.0
1589,1589,46.0
1590,1590,70.0
1591,1591,40.0
1592,1592,71.0
1593,1593,84.0
1594,1594,30.0
