,CANTIDAD_CORRECTIVAS,CANTIDAD_CRIMENES
987,43.0,0.0
988,72.0,0.0
989,63.0,0.0
990,59.0,0.0
991,35.0,0.0
992,58.0,0.0
993,63.0,1.0
994,100.0,0.0
995,43.0,0.0
996,60.0,0.0
997,82.0,0.0
998,88.0,1.0
999,42.0,1.0
1000,78.0,1.0
1001,62.0,0.0
1002,56.0,0.0
1003,40.0,0.0
1004,24.0,0.0
1005,44.0,0.0
1006,41.0,0.0
1007,74.0,0.0
1008,90.0,0.0
1009,69.0,0.0
1010,57.0,0.0
1011,66.0,0.0
1012,62.0,0.0
1013,79.0,0.0
1014,53.0,0.0
1015,53.0,0.0
1016,71.0,0.0
1017,79.0,1.0
1018,61.0,0.0
1019,82.0,1.0
1020,29.0,0.0
1021,64.0,0.0
1022,48.0,0.0
1023,64.0,1.0
1024,40.0,0.0
1025,42.0,0.0
1026,41.0,0.0
1027,73.0,0.0
1028,39.0,0.0
1029,44.0,1.0
1030,21.0,1.0
1031,62.0,0.0
1032,41.0,2.0
1033,38.0,2.0
1034,26.0,0.0
1035,48.0,1.0
1036,54.0,0.0
1037,51.0,0.0
1038,44.0,2.0
1039,37.0,0.0
1040,53.0,2.0
1041,66.0,1.0
1042,70.0,0.0
1043,46.0,0.0
1044,37.0,0.0
1045,73.0,0.0
1046,40.0,0.0
1047,41.0,0.0
1048,21.0,0.0
1049,38.0,0.0
1050,31.0,0.0
1051,32.0,2.0
1052,16.0,0.0
1053,32.0,0.0
1054,23.0,0.0
1055,34.0,0.0
1056,40.0,1.0
1057,42.0,0.0
1058,21.0,2.0
1059,0.0,1.0
1060,76.0,0.0
1061,39.0,0.0
1062,32.0,0.0
1063,21.0,0.0
1064,40.0,0.0
1065,61.0,0.0
1066,58.0,0.0
1067,39.0,1.0
1068,28.0,0.0
1069,56.0,0.0
1070,53.0,0.0
1071,59.0,0.0
1072,49.0,0.0
1073,59.0,0.0
1074,44.0,0.0
1075,89.0,1.0
1076,89.0,0.0
1077,98.0,0.0
1078,89.0,0.0
1079,51.0,1.0
1080,66.0,0.0
1081,43.0,0.0
1082,69.0,1.0
1083,86.0,0.0
1084,76.0,0.0
1085,118.0,0.0
1086,43.0,0.0
1087,95.0,0.0
1088,86.0,0.0
1089,58.0,0.0
1090,116.0,0.0
1091,60.0,2.0
1092,120.0,0.0
1093,87.0,1.0
1094,104.0,2.0
1095,74.0,0.0
1096,111.0,0.0
1097,84.0,2.0
1098,118.0,0.0
1099,147.0,0.0
1100,81.0,0.0
1101,92.0,0.0
1102,83.0,0.0
1103,109.0,2.0
1104,94.0,2.0
1105,96.0,1.0
1106,120.0,0.0
1107,105.0,0.0
1108,54.0,0.0
1109,53.0,0.0
1110,74.0,0.0
1111,98.0,0.0
1112,95.0,0.0
1113,115.0,1.0
1114,70.0,2.0
1115,50.0,0.0
1116,80.0,0.0
1117,77.0,0.0
1118,50.0,0.0
1119,115.0,0.0
1120,51.0,0.0
1121,80.0,0.0
1122,70.0,0.0
1123,61.0,0.0
1124,78.0,1.0
1125,59.0,0.0
1126,94.0,0.0
1127,86.0,0.0
1128,49.0,0.0
1129,45.0,0.0
1130,50.0,0.0
1131,44.0,0.0
1132,96.0,0.0
1133,84.0,0.0
1134,58.0,0.0
1135,52.0,0.0
1136,45.0,0.0
1137,33.0,0.0
1138,56.0,0.0
1139,40.0,0.0
1140,88.0,0.0
1141,120.0,0.0
1142,62.0,0.0
1143,128.0,0.0
1144,192.0,1.0
1145,170.0,0.0
1146,188.0,0.0
1147,168.0,0.0
1148,107.0,0.0
1149,153.0,0.0
1150,190.0,0.0
1151,254.0,0.0
1152,180.0,0.0
1153,239.0,0.0
1154,197.0,0.0
1155,194.0,0.0
1156,230.0,1.0
1157,178.0,0.0
1158,123.0,0.0
1159,179.0,0.0
1160,117.0,0.0
1161,200.0,0.0
1162,164.0,0.0
1163,155.0,0.0
1164,187.0,0.0
1165,187.0,0.0
1166,277.0,0.0
1167,164.0,0.0
1168,185.0,0.0
1169,144.0,0.0
1170,106.0,0.0
1171,153.0,1.0
1172,174.0,0.0
1173,155.0,0.0
1174,165.0,0.0
1175,117.0,0.0
1176,118.0,0.0
1177,198.0,0.0
1178,191.0,0.0
1179,325.0,0.0
1180,232.0,0.0
1181,249.0,0.0
1182,125.0,0.0
1183,155.0,0.0
