FID;NOMBRE;CATEGORIA;COMUNA;Manzanas;Personas;Hombres;Mujeres;Edad0a9;Edad10a19;Edad20a29;Edad30a39;Edad40a49;Edad50a59;Edad60a69;Edad70a79;Edad80omas;Viviendas;Hogares;HogaresDes;EstratoN1;EstratoN2;EstratoN3;EstratoN4;EstratoN5;EstratoN6
149;Luz de Salvacizn II;A. URBANO;COMUNA 10;37,000000000000000;901,000000000000000;437,000000000000000;464,000000000000000;172,000000000000000;165,000000000000000;185,000000000000000;142,000000000000000;95,000000000000000;89,000000000000000;30,000000000000000;17,000000000000000;6,000000000000000;391,000000000000000;280,000000000000000;63,000000000000000;246,000000000000000;4,000000000000000;1,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
150;MALPASO;BARRIO;COMUNA 11;3,000000000000000;401,000000000000000;184,000000000000000;217,000000000000000;49,000000000000000;56,000000000000000;79,000000000000000;46,000000000000000;52,000000000000000;55,000000000000000;37,000000000000000;19,000000000000000;8,000000000000000;128,000000000000000;124,000000000000000;10,000000000000000;13,000000000000000;80,000000000000000;11,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
151;MANUELA BELTRAN;BARRIO;COMUNA 11;34,000000000000000;3893,000000000000000;1857,000000000000000;2036,000000000000000;522,000000000000000;583,000000000000000;750,000000000000000;662,000000000000000;463,000000000000000;439,000000000000000;289,000000000000000;131,000000000000000;54,000000000000000;1230,000000000000000;1186,000000000000000;71,000000000000000;7,000000000000000;1065,000000000000000;21,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
152;MANZANARES;BARRIO;COMUNA 17;13,000000000000000;1027,000000000000000;490,000000000000000;537,000000000000000;128,000000000000000;144,000000000000000;195,000000000000000;147,000000000000000;108,000000000000000;156,000000000000000;74,000000000000000;51,000000000000000;24,000000000000000;282,000000000000000;296,000000000000000;6,000000000000000;0,000000000000000;2,000000000000000;264,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
153;MARIA PAZ;BARRIO;COMUNA 01;36,000000000000000;3752,000000000000000;1801,000000000000000;1951,000000000000000;662,000000000000000;662,000000000000000;764,000000000000000;576,000000000000000;439,000000000000000;341,000000000000000;162,000000000000000;100,000000000000000;46,000000000000000;1123,000000000000000;1169,000000000000000;84,000000000000000;941,000000000000000;43,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
154;MEJORAS PUBLICAS;BARRIO;COMUNA 13;39,000000000000000;8319,000000000000000;3672,000000000000000;4647,000000000000000;662,000000000000000;815,000000000000000;1354,000000000000000;1335,000000000000000;1056,000000000000000;1243,000000000000000;960,000000000000000;562,000000000000000;332,000000000000000;3797,000000000000000;3238,000000000000000;474,000000000000000;7,000000000000000;9,000000000000000;94,000000000000000;2872,000000000000000;177,000000000000000;10,000000000000000
155;MERCEDES;BARRIO;COMUNA 12;16,000000000000000;1680,000000000000000;714,000000000000000;966,000000000000000;145,000000000000000;187,000000000000000;272,000000000000000;259,000000000000000;201,000000000000000;252,000000000000000;168,000000000000000;108,000000000000000;88,000000000000000;699,000000000000000;615,000000000000000;74,000000000000000;2,000000000000000;1,000000000000000;11,000000000000000;374,000000000000000;213,000000000000000;1,000000000000000
156;MINUTO DE DIOS;BARRIO;COMUNA 01;7,000000000000000;1458,000000000000000;722,000000000000000;736,000000000000000;211,000000000000000;206,000000000000000;284,000000000000000;251,000000000000000;163,000000000000000;190,000000000000000;89,000000000000000;49,000000000000000;15,000000000000000;484,000000000000000;442,000000000000000;22,000000000000000;23,000000000000000;378,000000000000000;9,000000000000000;4,000000000000000;3,000000000000000;0,000000000000000
157;MIRADOR NORTE;A. URBANO;COMUNA 02;25,000000000000000;1066,000000000000000;534,000000000000000;532,000000000000000;219,000000000000000;218,000000000000000;228,000000000000000;171,000000000000000;92,000000000000000;63,000000000000000;42,000000000000000;25,000000000000000;8,000000000000000;382,000000000000000;323,000000000000000;6,000000000000000;293,000000000000000;10,000000000000000;0,000000000000000;2,000000000000000;0,000000000000000;0,000000000000000
158;MIRADORES DEL KENNEDY;BARRIO;COMUNA 01;5,000000000000000;411,000000000000000;192,000000000000000;219,000000000000000;58,000000000000000;68,000000000000000;89,000000000000000;64,000000000000000;58,000000000000000;47,000000000000000;22,000000000000000;5,000000000000000;0,000000000000000;116,000000000000000;116,000000000000000;10,000000000000000;9,000000000000000;94,000000000000000;1,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
159;MIRAFLORES;BARRIO;COMUNA 14;49,000000000000000;3945,000000000000000;1894,000000000000000;2051,000000000000000;622,000000000000000;643,000000000000000;785,000000000000000;586,000000000000000;471,000000000000000;380,000000000000000;218,000000000000000;154,000000000000000;86,000000000000000;1247,000000000000000;1194,000000000000000;76,000000000000000;939,000000000000000;160,000000000000000;6,000000000000000;3,000000000000000;0,000000000000000;0,000000000000000
160;MIRAMAR;BARRIO;COMUNA 01;13,000000000000000;605,000000000000000;290,000000000000000;315,000000000000000;73,000000000000000;116,000000000000000;100,000000000000000;90,000000000000000;84,000000000000000;74,000000000000000;34,000000000000000;22,000000000000000;12,000000000000000;200,000000000000000;179,000000000000000;7,000000000000000;91,000000000000000;72,000000000000000;1,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
161;MODELO;BARRIO;COMUNA 03;22,000000000000000;1906,000000000000000;864,000000000000000;1042,000000000000000;251,000000000000000;247,000000000000000;363,000000000000000;319,000000000000000;268,000000000000000;215,000000000000000;128,000000000000000;81,000000000000000;34,000000000000000;888,000000000000000;648,000000000000000;181,000000000000000;3,000000000000000;16,000000000000000;562,000000000000000;7,000000000000000;1,000000000000000;0,000000000000000
162;MONTERREDONDO;BARRIO;COMUNA 17;31,000000000000000;4705,000000000000000;2212,000000000000000;2493,000000000000000;699,000000000000000;667,000000000000000;976,000000000000000;758,000000000000000;584,000000000000000;556,000000000000000;287,000000000000000;127,000000000000000;51,000000000000000;1535,000000000000000;1519,000000000000000;106,000000000000000;4,000000000000000;18,000000000000000;1334,000000000000000;2,000000000000000;0,000000000000000;0,000000000000000
163;MORRORICO;BARRIO;COMUNA 14;13,000000000000000;1542,000000000000000;750,000000000000000;792,000000000000000;246,000000000000000;236,000000000000000;302,000000000000000;233,000000000000000;203,000000000000000;136,000000000000000;114,000000000000000;49,000000000000000;23,000000000000000;536,000000000000000;494,000000000000000;16,000000000000000;460,000000000000000;21,000000000000000;3,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
164;MUTIS;BARRIO;COMUNA 17;46,000000000000000;7513,000000000000000;3474,000000000000000;4039,000000000000000;766,000000000000000;990,000000000000000;1301,000000000000000;1008,000000000000000;940,000000000000000;1149,000000000000000;585,000000000000000;408,000000000000000;366,000000000000000;2313,000000000000000;2358,000000000000000;157,000000000000000;3,000000000000000;11,000000000000000;2066,000000000000000;10,000000000000000;1,000000000000000;1,000000000000000
165;MUTUALIDAD;BARRIO;COMUNA 03;26,000000000000000;3581,000000000000000;1704,000000000000000;1877,000000000000000;361,000000000000000;485,000000000000000;810,000000000000000;514,000000000000000;454,000000000000000;466,000000000000000;248,000000000000000;159,000000000000000;84,000000000000000;1636,000000000000000;1382,000000000000000;252,000000000000000;16,000000000000000;33,000000000000000;1044,000000000000000;75,000000000000000;1,000000000000000;0,000000000000000
166;Manzana 10;A. URBANO;COMUNA 08;14,000000000000000;509,000000000000000;248,000000000000000;261,000000000000000;76,000000000000000;86,000000000000000;100,000000000000000;77,000000000000000;63,000000000000000;52,000000000000000;26,000000000000000;22,000000000000000;7,000000000000000;158,000000000000000;165,000000000000000;6,000000000000000;132,000000000000000;13,000000000000000;1,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
167;MarUa Auxiliadora;A. URBANO;COMUNA 04;1,000000000000000;42,000000000000000;21,000000000000000;21,000000000000000;9,000000000000000;3,000000000000000;11,000000000000000;3,000000000000000;4,000000000000000;5,000000000000000;6,000000000000000;0,000000000000000;1,000000000000000;20,000000000000000;12,000000000000000;2,000000000000000;8,000000000000000;1,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
168;Milagro de Dios;A. URBANO;COMUNA 04;6,000000000000000;658,000000000000000;329,000000000000000;329,000000000000000;109,000000000000000;139,000000000000000;141,000000000000000;98,000000000000000;78,000000000000000;54,000000000000000;25,000000000000000;9,000000000000000;5,000000000000000;223,000000000000000;206,000000000000000;6,000000000000000;166,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
169;Miramanga;A. RURAL;COMUNA 14;10,000000000000000;452,000000000000000;224,000000000000000;228,000000000000000;85,000000000000000;84,000000000000000;89,000000000000000;77,000000000000000;65,000000000000000;22,000000000000000;15,000000000000000;10,000000000000000;5,000000000000000;135,000000000000000;124,000000000000000;11,000000000000000;114,000000000000000;4,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
